yearCE,Al (ug/L),As (ng/L),Ba (ng/L),Bi (ng/L),Ca (ug/L),Cd (ng/L),Ce (ng/L),Co (ng/L),Cr (ng/L),Cs (ng/L),Cu (ng/L),Fe (ug/L),K (ug/L),La (ng/L),Li (ng/L),Mg (ug/L),Mn (ng/L),Na (ug/L),Pb (ng/L),Pr (ng/L),S (ug/L),Si (u/g/L),Sr (ng/L),Ti (ng/L),U (pg/L),V (ng/L),depth (m abs),depth (m we) 
1419.0,15.30611333333333,4.8831999999999995,223.888615,1.9603366666666666,77.43437833333333,2.012465,17.355774999999998,7.0417983333333325,11.64457,0.5515433333333334,80.44700166666667,3.185191666666667,3.775036666666667,8.032770000000001,16.66949,22.64436166666667,415.4670816666666,17.528305,58.559553333333334,2.473533333333333,19.149979999999996,7.9807500000000005,498.34843333333333,184.24872000000002,980.1532266666667,13.721583333333333,50.568333333333335,34.887888888333336
1409.0,14.723535,6.265112500000001,369.414425,2.3363325,103.1000825,2.21768,26.9720525,11.01212,14.2207075,0.8050875,77.48682749999999,6.820055000000001,8.33353,12.319227499999998,149.85289249999997,22.1739675,697.3304725,40.154095,201.92929,3.8442300000000005,26.523015,10.498105,625.8308850000001,161.4336025,1484.7141725000001,23.7514575,50.735,35.032333335000004
1399.0,5.962846666666667,7.9919433333333325,250.83085666666668,1.1477866666666667,70.54543,1.6868833333333333,14.430876666666668,6.179353333333334,11.160413333333333,0.53083,41.73945,3.2414866666666664,3.5257066666666668,7.302413333333334,8.80507,10.055270000000002,392.77606999999995,11.049243333333335,45.94356333333334,2.3505033333333336,17.927643333333332,4.707783333333333,459.8153433333334,66.27821333333333,1136.8988566666667,11.280499999999998,50.85,35.13307692
1389.0,6.900787500000001,9.0450425,233.3164375,0.8869100000000001,50.1536475,1.2128325,28.189972499999996,9.70863,8.0206275,0.608495,33.1828575,2.2564825,4.7849575,13.213987499999998,7.649027500000001,10.08924,465.0235275,8.3979825,87.481535,4.1105475,10.23576,4.284165,297.9058,60.141797499999996,2200.4478599999998,11.11681,50.963750000000005,35.23370192
1379.0,2.4420720000000005,7.000523999999999,119.029042,1.006266,22.974806,1.703126,4.943456,3.3866820000000004,5.997590000000001,0.227882,27.923026000000004,0.8889319999999999,1.9883200000000003,2.4199919999999997,3.935398,6.54551,140.735294,7.926544,32.17625,0.769754,11.609542,2.859618,146.54164,70.019104,545.563466,3.6222760000000003,51.11,35.36307692
1369.0,1.81866,2.681035,256.0538975,0.2263625,116.08585,1.30091,2.354685,8.917169999999999,5.621824999999999,0.44240999999999997,7.850997500000001,1.2246525,3.9770225,0.5096125,21.41268,14.952214999999999,707.8197925,20.985907499999996,2.6553549999999997,0.4034225,15.4399225,6.4375800000000005,472.17320500000005,140.51093250000002,766.4696275,17.895465,51.25625,35.49245191999999
1359.0,0.958735,2.5480425,232.60778000000002,0.216575,88.23626000000002,1.5421425000000002,1.3197699999999999,8.079625,3.1826649999999996,0.3403575,11.936055000000001,0.6989825000000001,5.08008,0.478035,4.738035,12.8798475,550.864375,20.0376775,2.52392,0.21013500000000002,15.28714,4.6117175,397.36247249999997,53.03534,437.8597,11.2121625,51.386250000000004,35.607777775
1349.0,10.747686,5.6058900000000005,487.85465400000004,0.5367719999999999,125.27038,0.8693860000000001,33.20870599999999,20.18786,11.507016,0.8629960000000001,29.456648,4.314971999999999,7.761278,14.091145999999998,12.960172,18.938858,1130.0190539999999,21.943094,30.206616000000004,4.487214,27.211422000000006,9.131066,767.1851,117.177084,2152.682106,29.408043999999997,51.532500000000006,35.73777778
1339.0,20.2260025,10.36222,613.460235,1.5560124999999998,136.8141225,2.4761724999999997,51.6997425,17.333289999999998,18.8721075,1.348695,56.0157425,9.673372500000001,23.220102500000003,22.11757,15.4727625,20.9023075,1166.4917375,29.232675,216.6539325,7.71678,38.079615000000004,12.012867500000002,906.1763175,185.46681,3454.5942475,35.2329725,51.67875,35.867777775
1329.0,2.317405,10.23936,171.162475,12.921535,75.642965,1.26682,6.8278099999999995,4.61745,5.798585000000001,0.31715,46.970065,0.8402100000000001,13.891475,3.24027,9.54706,11.32131,433.32098999999994,15.983694999999999,40.684545,1.170785,12.97424,3.876345,373.04654,55.20478,595.684325,7.668955,51.8090909,35.983721579999994
1319.0,3.348285,8.828822500000001,233.98614750000002,1.247075,67.188445,2.5469899999999996,10.4854225,8.259625,6.502999999999999,0.4930975000000001,124.5582325,1.7048174999999999,4.045567500000001,4.8780725,38.739059999999995,12.64912,463.6168349999999,12.9289575,140.31301000000002,1.4802374999999999,83.30143,3.9876699999999996,328.28764500000005,29.8140675,897.1185800000001,7.481192499999999,51.907272725,36.0711647725
1309.0,3.270275,7.62074,196.592315,1.363645,56.971655,3.1862825000000004,8.6956325,6.7103425,4.587365,0.39197000000000004,43.348132500000006,1.3055124999999999,3.84721,3.573285,7.9195825,9.537625,388.81519000000003,13.686697500000001,91.7570625,1.246365,21.1444575,4.6513675,350.9461775,81.5230775,1019.180755,9.6829525,52.038181825,36.1877556875
1299.0,1.79456,6.716603333333334,87.85623,16.60181,28.011523333333333,1.3387799999999999,4.21603,5.511800000000001,3.379496666666667,0.3393466666666667,22.62585,0.9824466666666666,3.1485766666666666,1.9429333333333334,10.167430000000001,8.262086666666667,239.91548,15.07785,66.02338666666667,0.6933066666666666,16.03558,3.88476,164.62168333333332,101.90823333333333,439.7473066666667,3.36319,52.15272726666666,36.28977272
1289.0,2.10692,9.732943333333333,115.32188000000001,1.0350566666666667,29.12037666666667,1.4257466666666667,5.847803333333334,6.235320000000001,4.31256,0.36055,38.25163,0.8351833333333333,3.481363333333333,2.3182466666666666,6.07013,7.406359999999999,282.76848,7.229353333333333,90.61274666666668,0.8677433333333333,14.501786666666668,3.0710900000000003,170.38532,46.50522333333333,596.6278766666668,4.89614,52.2509091,36.37721592
1279.0,4.9380925,31.8192625,264.810575,6.5392925,73.23389749999998,2.25759,13.955545,9.3748325,8.8090525,0.62975,54.9840375,2.21863,8.86055,6.0206125,8.6150725,11.638475,661.2988975,17.48253,225.79187,2.06994,24.1236975,3.8771249999999995,396.5136075,58.857895,978.2889449999998,12.391695,52.36545455,36.479134814999995
1269.0,6.815027499999999,15.059257499999998,301.6799225,0.9488175,62.2527725,1.5960124999999998,15.5831275,8.9883825,9.706615000000001,0.65966,42.673610000000004,2.7783700000000002,5.543225,7.034949999999999,10.12017,12.0538375,586.2719325,56.403414999999995,94.97396,2.2838624999999997,25.4573975,5.6694225,434.7219375,72.12802500000001,1074.7630775,15.25241,52.496363625,36.5932231325
1259.0,1.3676233333333334,9.095183333333333,188.50193333333334,1.2426333333333333,22.79113,0.45308666666666664,5.246700000000001,3.7201299999999997,4.477626666666667,0.18595333333333333,20.151840000000004,0.7132299999999999,2.1434766666666665,2.20999,5.035149999999999,6.045016666666666,176.3704866666667,5.844793333333333,33.18887,0.7594066666666667,6.39605,3.3084666666666664,118.59473666666666,42.76683,617.8164266666666,2.4034666666666666,52.61090909999999,36.69214876666667
1249.0,0.87379,7.462305000000001,38.935610000000004,0.6632450000000001,11.850995000000001,4.8381725,3.0264375,4.71225,4.7848,0.16578749999999998,29.5303475,0.39249249999999997,0.8199075,1.3098875,4.1582,4.15907,94.6909275,3.5166225,29.1559475,0.4615174999999999,3.5618100000000004,2.83112,58.847735,17.3757325,515.1444925,0.8141875000000001,52.72545455,36.7910743825
